order_id,customer_name,product,price,quantity,order_date,city
1,Ahmed Bennani,Laptop,1200.0,1.0,2024-01-15,Casablanca
2,sara EL amrani,phone ,800.0,2.0,15/01/2024,RABAT
3,Youssef ALAMI, Tablet,,1.0,2024-01-16,casablanca
4,,Laptop,1200.0,,,Marrakech
5,Fatima Zahra,,150.0,3.0,2024-01-17,
6,karim idrissi,Headphones,-50.0,1.0,2024/01/18,Rabat
7,Ahmed Bennani,Laptop,1200.0,1.0,2024-01-15,Casablanca
8,sara EL amrani,phone ,800.0,2.0,15/01/2024,RABAT
9,Youssef ALAMI, Tablet,,1.0,2024-01-16,casablanca
10,,Laptop,1200.0,,,Marrakech
11,Fatima Zahra,,150.0,3.0,2024-01-17,
12,karim idrissi,Headphones,-50.0,1.0,2024/01/18,Rabat
13,Ahmed Bennani,Laptop,1200.0,1.0,2024-01-15,Casablanca
14,sara EL amrani,phone ,800.0,2.0,15/01/2024,RABAT
15,Youssef ALAMI, Tablet,,1.0,2024-01-16,casablanca
16,,Laptop,1200.0,,,Marrakech
17,Fatima Zahra,,150.0,3.0,2024-01-17,
18,karim idrissi,Headphones,-50.0,1.0,2024/01/18,Rabat
19,Ahmed Bennani,Laptop,1200.0,1.0,2024-01-15,Casablanca
20,sara EL amrani,phone ,800.0,2.0,15/01/2024,RABAT
21,Youssef ALAMI, Tablet,,1.0,2024-01-16,casablanca
22,,Laptop,1200.0,,,Marrakech
23,Fatima Zahra,,150.0,3.0,2024-01-17,
24,karim idrissi,Headphones,-50.0,1.0,2024/01/18,Rabat
25,Ahmed Bennani,Laptop,1200.0,1.0,2024-01-15,Casablanca
26,sara EL amrani,phone ,800.0,2.0,15/01/2024,RABAT
27,Youssef ALAMI, Tablet,,1.0,2024-01-16,casablanca
28,,Laptop,1200.0,,,Marrakech
29,Fatima Zahra,,150.0,3.0,2024-01-17,
30,karim idrissi,Headphones,-50.0,1.0,2024/01/18,Rabat
31,Ahmed Bennani,Laptop,1200.0,1.0,2024-01-15,Casablanca
